area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,20-May,0,4 BHK,GrrvaGr,1.1121567611392618,1.4248698759040173,-0.7674870323799133,428.0,4,2.709751122278806
Super built-up  Area,18-Jun,0,3 BHK,GrrvaGr,0.059638209121407125,0.46189349974174937,0.4991822912173319,194.0,3,1.7678567017968307
Super built-up  Area,Ready To Move,0,3 BHK,GrrvaGr,0.2710046396495828,-0.5010828764205185,1.765851614814577,235.0,3,1.9587604928653624
Built-up  Area,15-Dec,0,3 BHK,Bhsic C,-0.31133144445865635,-0.5010828764205185,-2.0341563559771587,130.0,3,1.4448410579065862
Super built-up  Area,18-Jun,0,2 BHK,GrrvaGr,-0.2811362400974884,-0.5010828764205185,0.4991822912173319,148.0,2,1.792635229774774
Super built-up  Area,20-May,0,4 BHK,GrrvaGr,1.0258847486787819,1.4248698759040173,-2.0341563559771587,413.0,4,2.709943980683894
Super built-up  Area,20-May,0,4 BHK,GrrvaGr,0.7670687112973421,1.4248698759040173,0.4991822912173319,368.0,4,2.710617017158794
Super built-up  Area,Ready To Move,1,4 BHK,Prhtsok,1.0905887580241418,1.4248698759040173,1.765851614814577,250.0,4,0.8451346202703255
Super built-up  Area,Ready To Move,1,3 BHK,Prhtsok,0.2710046396495828,0.46189349974174937,-0.7674870323799133,167.0,3,0.8623990316199728
Built-up  Area,Ready To Move,1,5 Bedroom,GrrvaGr,-0.05251540707721672,2.3878462520662853,0.4991822912173319,85.0,5,-0.11707095030145921
Super built-up  Area,Ready To Move,1,3 BHK,Prhtsok,0.4349214633244946,1.4248698759040173,-0.7674870323799133,210.0,3,1.2441579950695765
Super built-up  Area,Ready To Move,1,3 BHK,NCaveun,0.39954993821569784,0.46189349974174937,0.4991822912173319,157.0,3,0.5148233251089868
Super built-up  Area,Ready To Move,1,3 BHK,Prhtsok,0.4297451425768658,0.46189349974174937,0.4991822912173319,225.0,3,1.4733489068398664
Super built-up  Area,Ready To Move,1,2 BHK,NCaveun,-0.1439637402853254,-0.5010828764205185,-0.7674870323799133,100.0,2,0.33848370678777584
Super built-up  Area,18-May,1,2 BHK,Inntsth,-0.41744601978504664,-0.5010828764205185,0.4991822912173319,93.0,2,0.7803021632291582
Plot  Area,Ready To Move,1,2 Bedroom,GrrvaGr,0.004424121146700001,-0.5010828764205185,-2.0341563559771587,180.0,2,1.6446407030055017
Built-up  Area,Ready To Move,1,1 BHK,Opamaan,-0.6219106893163839,-0.5010828764205185,0.4991822912173319,50.0,1,-0.030697936022673407
Super built-up  Area,18-May,1,3 BHK,Inntsth,0.025129404137215174,0.46189349974174937,1.765851614814577,131.0,3,0.660557791460063
Super built-up  Area,Ready To Move,1,3 BHK,Prhtsok,0.5341342776540464,0.46189349974174937,0.4991822912173319,210.0,3,1.0819819497552643
Super built-up  Area,Ready To Move,1,2 BHK,GrrvaGr,-0.3285858469507523,-0.5010828764205185,0.4991822912173319,88.5,2,0.43715589132075033
Super built-up  Area,Ready To Move,1,2 BHK,GrrvaGr,-0.31133144445865635,-0.5010828764205185,0.4991822912173319,86.0,2,0.33638737466216684
Built-up  Area,Ready To Move,1,2 BHK,NCaveun,-0.1439637402853254,-0.5010828764205185,0.4991822912173319,85.0,2,0.013190790745002512
Super built-up  Area,18-May,1,3 BHK,Inntsth,0.4452741048197522,0.46189349974174937,1.765851614814577,175.0,3,0.716974100193346
Super built-up  Area,Ready To Move,1,4 BHK,GrrvaGr,2.5787809729674196,-0.5010828764205185,-0.7674870323799133,240.0,4,-0.23555700835056295
Super built-up  Area,Ready To Move,1,2 BHK,NCaveun,-0.30701784383563235,-0.5010828764205185,-0.7674870323799133,85.0,2,0.3023100547133097
Super built-up  Area,Ready To Move,1,4 BHK,Prhtsok,0.9094175318571339,2.3878462520662853,1.765851614814577,222.0,4,0.7362823198340407
Super built-up  Area,Ready To Move,1,2 BHK,GrrvaGr,-0.570147481840096,-0.5010828764205185,-0.7674870323799133,75.0,2,0.6890771829672094
Super built-up  Area,Ready To Move,2,3 BHK,GrrvaGr,-0.09565141330745666,-0.5010828764205185,-0.7674870323799133,50.75,3,-0.7720663085822524
Super built-up  Area,Ready To Move,2,2 BHK,GrrvaGr,-0.3544674506888963,-0.5010828764205185,-0.7674870323799133,40.25,2,-0.7720663085822524
Super built-up  Area,Ready To Move,2,3 BHK,GrrvaGr,-0.18192342576793655,-0.5010828764205185,0.4991822912173319,47.25,3,-0.7720663085822524
Super built-up  Area,Ready To Move,2,3 BHK,GrrvaGr,-0.18192342576793655,-0.5010828764205185,0.4991822912173319,47.25,3,-0.7720663085822524
Super built-up  Area,22-Jun,2,2 BHK,GrrvaGr,-0.570147481840096,-0.5010828764205185,0.4991822912173319,41.0,2,-0.4529660058300712
Super built-up  Area,Ready To Move,2,3 BHK,GrrvaGr,0.10363693547625187,0.46189349974174937,1.765851614814577,69.0,3,-0.58926226839763
Super built-up  Area,Ready To Move,2,3 BHK,GrrvaGr,-0.18192342576793655,-0.5010828764205185,0.4991822912173319,47.25,3,-0.7720663085822524
Super built-up  Area,Ready To Move,2,2 BHK,GrrvaGr,-0.3544674506888963,-0.5010828764205185,-0.7674870323799133,40.25,2,-0.7720663085822524
Plot  Area,Ready To Move,3,4 Bedroom,GrrvaGr,-0.05251540707721672,1.4248698759040173,0.4991822912173319,220.0,4,2.6036789994802967
